kanji,count
日,1
一,1
国,1
人,1
年,1
大,1
十,1
二,1
本,1
中,1
長,1
出,1
三,1
時,1
行,1
見,1
月,1
後,1
前,1
生,1
五,1
間,1
上,1
東,1
四,1
今,1
金,1
九,1
入,1
学,1
高,1
円,1
子,1
外,1
八,1
六,1
下,1
来,1
気,1
小,1
七,1
山,1
話,1
女,1
北,1
午,1
百,1
書,1
先,1
名,1
川,1
千,1
水,1
半,1
男,1
西,1
電,1
校,1
語,1
土,1
木,1
聞,1
食,1
車,1
何,1
南,1
万,1
毎,1
白,1
天,1
母,1
火,1
右,1
読,1
友,1
左,1
休,1
父,1
雨,1
会,1
同,1
事,1
自,1
社,1
発,1
者,1
地,1
業,1
方,1
新,1
場,1
員,1
立,1
開,1
手,1
力,1
問,1
代,1
明,1
動,1
京,1
目,1
通,1
言,1
理,1
体,1
田,1
主,1
題,1
意,1
不,1
作,1
用,1
度,1
強,1
公,1
持,1
野,1
以,1
思,1
家,1
世,1
多,1
正,1
安,1
院,1
心,1
界,1
教,1
文,1
元,1
重,1
近,1
考,1
画,1
海,1
売,1
知,1
道,1
集,1
別,1
物,1
使,1
品,1
計,1
死,1
特,1
私,1
始,1
朝,1
運,1
終,1
台,1
広,1
住,1
真,1
有,1
口,1
少,1
町,1
料,1
工,1
建,1
空,1
急,1
止,1
送,1
切,1
転,1
研,1
足,1
究,1
楽,1
起,1
着,1
店,1
病,1
質,1
待,1
試,1
族,1
銀,1
早,1
映,1
親,1
験,1
英,1
医,1
仕,1
去,1
味,1
写,1
字,1
答,1
夜,1
音,1
注,1
帰,1
古,1
歌,1
買,1
悪,1
図,1
週,1
室,1
歩,1
風,1
紙,1
黒,1
花,1
春,1
赤,1
青,1
館,1
屋,1
色,1
走,1
秋,1
夏,1
習,1
駅,1
洋,1
旅,1
服,1
夕,1
借,1
曜,1
飲,1
肉,1
貸,1
堂,1
鳥,1
飯,1
勉,1
冬,1
昼,1
茶,1
弟,1
牛,1
魚,1
兄,1
犬,1
妹,1
姉,1
漢,1
